video_id,title,category,category_name,duration_seconds,duration_minutes,views,likes,comments,published_at,like_view_ratio,comment_view_ratio,engagement_rate
aauU80mY6m4,Hair 1.5 METERS LONG!!! Homeless Woman's amazing transformation,26,How-to & Style,1290,21.5,7997771,25598,1492,2025-02-28T13:00:03Z,0.0032006417788156224,0.00018655197804488276,0.0033871937568605054
Pqm8l4FJy6w,"Makeup Tutorial Tiktok Compilation - GRWM  ( Get Ready With Me ) ❤️(Skincare, Makeup, Outfits) 974🥰",26,How-to & Style,2570,42.833333333333336,856892,3734,442,2024-10-08T13:00:25Z,0.004357608660134533,0.0005158176292928397,0.004873426289427373
fkvW4KFQZPY,college morning routine ★ *sophomore year @ sdsu*,26,How-to & Style,1530,25.5,411760,16245,507,2025-10-17T19:00:49Z,0.0394525937439285,0.0012312997862832717,0.040683893530211776
A9IHC9qtAgs,ユニクロ白T✨体操服にならない大人の着こなし術【UNIQLO LOOKBOOK】,26,How-to & Style,1697,28.283333333333335,119784,1703,105,2025-06-09T11:30:07Z,0.014217257730581714,0.0008765778401122019,0.015093835570693916
fR8GUtXBDmA,"FALL LOOKBOOK | 12 Comfy Fall Outfit Ideas, How to dress cute and on trend this fall!",26,How-to & Style,1267,21.116666666666667,113699,2628,106,2025-09-17T18:35:44Z,0.023113659750745388,0.0009322861238885127,0.024045945874633903
Fd3UycgTJjg,"FALL LOOKBOOK | 12 Comfy and cozy fall outfits, how to dress cute for the fall!",26,How-to & Style,1638,27.3,249757,4842,130,2024-09-23T17:14:03Z,0.019386844012380035,0.0005205059317656762,0.01990734994414571
Tv23XnBsrX0,5月の毎日コーデ記録3週間21日分🎥リアルな40代大人カジュアル【アラフォー】,26,How-to & Style,2169,36.15,338204,3846,153,2025-05-29T11:30:36Z,0.011371834750623883,0.00045238968196709676,0.01182422443259098
Ey-G04eq-f0,【永久保存版✨LOOKBOOK】スタイリスト大草直子さん直伝　大人の若見えファッション！テクニック満載の👀都会派大人コーデで天野佳代子が大変身👗【ファッション】,26,How-to & Style,1446,24.1,210578,2330,37,2025-05-21T11:00:20Z,0.011064783595627273,0.00017570686396489661,0.01124049045959217
QSLc_DCr9rY,"7月のリアルなアラフォー1週間コーデ記録【7days,7looks】",26,How-to & Style,2399,39.983333333333334,112519,1477,127,2025-07-31T11:30:18Z,0.013126671939850159,0.0011286982642931417,0.014255370204143301
T1rISGzQjhg,"秋の気配🍂9月のリアルなアラフォー1週間コーデ記録【7days,7looks】",26,How-to & Style,2294,38.233333333333334,121207,1701,107,2025-09-17T11:30:34Z,0.014033842929863786,0.0008827872977633305,0.014916630227627117
